,telegram_id,username,is_banned,excluded_from_airdrop
350,252581276,allloadshop,1,0
352,252864428,Viktor_9,1,0
353,253070248,,1,0
354,253829977,,1,0
356,254675768,Keshav25,1,0
360,255565625,milkillway,1,0
362,256485562,prost9877,1,0
363,256641212,,1,0
364,256755535,denmark57,1,0
366,258306059,,1,0
367,258452201,,1,0
368,259638068,,1,0
369,260013846,INFLIKT,1,0
371,260708646,Shenille,1,0
373,261366928,alexweawer,1,0
374,261765577,Basah1,1,0
375,261800478,,1,0
377,262418312,,1,0
381,264212672,maloy19,1,0
382,264543440,,1,0
384,264859701,,1,0
385,264892376,tchellos,1,0
387,265484888,windigl,1,0
388,265562425,EN4INE,1,0
389,265683854,osnova15,1,0
391,266419372,Irich72,1,0
392,266527676,,1,0
394,268633447,,1,0
395,269062176,sinta511,1,0
396,269210738,nimus06,1,0
397,270131592,iamsima,1,0
399,270624823,xiaxingzhuang,1,0
401,271084839,jokerdarkknight,1,0
403,271357553,,1,0
404,271443326,vieta010,1,0
408,271796622,RiadForex,1,0
409,271832905,,1,0
410,272248872,hatuanphong,1,0
411,272693462,,1,0
413,273303374,,1,0
414,273357670,,1,0
415,273810697,,1,0
417,273966139,,1,0
418,273966260,,1,0
419,273991220,qwaxsahbms,1,0
420,274684758,,1,0
421,274872119,,1,0
422,275225167,,1,0
423,275412153,iFavchado,1,0
425,275684647,huanduanshi,1,0
426,275963051,Olgaefimo,1,0
427,276265540,StephanHotho,1,0
429,276479528,Natalu741,1,0
431,276749319,chrissyjhunnez,1,0
432,277021597,gensendart,1,0
433,277044856,qtroonnmyq,1,0
434,277067054,,1,0
435,277375326,pavelgavalev,1,0
437,278111554,,1,0
438,278206513,,1,0
439,278403446,almohet88,1,0
440,278495935,adip12,1,0
442,278909621,,1,0
443,279081012,AleksandrDukhn1,1,0
444,279091594,Johntoel,1,0
448,280289435,EvanWordsworth,1,0
450,280415517,Simone_Ceccarelli,1,0
451,280417852,,1,0
452,280973992,jhonhenrry,1,0
453,281099202,Admmmm,1,0
455,281276680,Denilima,1,0
456,281539495,,1,0
459,282603201,phamvanhung12,1,0
462,282941337,Jeanbarkwende,1,0
463,283273118,PunNee,1,0
464,283518262,,1,0
465,283586971,Strikerjoseph,1,0
466,283768066,,1,0
467,283848946,,1,0
468,284367651,fengzhidu97,1,0
469,284524886,ganbitu,1,0
470,284773939,hoangminhtrieu,1,0
472,285509150,KravchenkoMax,1,0
476,286518787,thigiang1984,1,0
478,286860625,nwlittle6,1,0
480,287438517,pavankhatri1,1,0
481,287579707,Moshkofi,1,0
482,287726006,JCcharlo,1,0
483,287937604,kiwato,1,0
486,288172218,Sarkisss,1,0
487,288204804,,1,0
488,288686879,,1,0
490,289281877,,1,0
495,290112055,furyo974,1,0
496,290434923,SpringCorn,1,0
498,290495840,,1,0
499,290583302,,1,0
500,290702104,,1,0
501,290826767,hophuonguyen,1,0
502,291856883,,1,0
504,292438075,HaydenJosh,1,0
505,292448949,Pangoli1,1,0
506,292503778,eduardo590,1,0
508,292785250,tungan65,1,0
509,293349684,Docpolo228,1,0
511,293396324,haver2023,1,0
513,294061463,caesar0314,1,0
514,294132907,hodimpodosnovoi,1,0
515,294182101,raymond5robertson,1,0
517,294528887,stinrichleyandmichaels,1,0
519,294754836,,1,0
522,294968935,zhujiaoshi4,1,0
527,295710916,vovietthanh,1,0
530,295858033,WThorny,1,0
531,296046212,,1,0
532,296057002,NamLun,1,0
533,296098550,hgjjhlkk,1,0
534,296271449,,1,0
535,296358583,Cocote1,1,0
536,296423922,TrinhLien,1,0
539,297301563,arta_dianka,1,0
544,298881905,,1,0
547,299535171,,1,0
548,299569304,luckyishere,1,0
549,299912680,,1,0
550,299951440,freedomfredoom,1,0
551,300326161,nmhung,1,0
554,300555476,,1,0
555,300609623,Fireligne,1,0
556,300855754,Angler2017,1,0
558,300991888,,1,0
559,301029409,hoanganh01682839405,1,0
560,301267441,Martcrypto,1,0
563,301582270,IrinaNovogolub,1,0
565,301699929,,1,0
567,301910300,,1,0
573,303295787,Thien3893,1,0
576,303434604,,1,0
578,303832632,,1,0
580,304284882,leanhtuan7,1,0
581,304312473,hongthienvu,1,0
583,304503824,r3z0HS,1,0
584,304560728,annekarsel,1,0
586,304661678,,1,0
587,304836081,BoothOwen,1,0
588,304934627,,1,0
589,305058837,goujiesha,1,0
592,305375835,,1,0
594,305526038,fayyazliaquat,1,0
596,305845255,quyetpham,1,0
597,305862164,,1,0
598,305962207,Luckynguyen1,1,0
600,306385069,Samkeddy1,1,0
602,306705002,Sana859,1,0
603,306786562,alexbalok,1,0
605,306931258,yassmks,1,0
606,306991185,TEEJAYMONEY,1,0
608,307027216,,1,0
609,307144721,caoduc94,1,0
613,307804322,sputnik1105,1,0
614,307849561,yukseldaskin,1,0
615,308091104,xyngc0de,1,0
616,308128523,Zugan23,1,0
617,308315146,,1,0
619,308511479,caohongquang,1,0
620,308747883,,1,0
622,309336893,CareyPartridge,1,0
623,309347165,irencetan,1,0
624,309598747,wawan_g7,1,0
626,309827881,Sabir_N,1,0
627,310085464,Penkivskiy,1,0
630,310284184,Yogazzz,1,0
633,310838457,yennguyen1988,1,0
634,311057218,fajar6661,1,0
635,311252124,Pawaaaa,1,0
636,311260712,MrBlackTurtle,1,0
640,311834895,,1,0
643,312313224,EXHALE0,1,0
646,312481196,protasof,1,0
648,312545978,ashapkarin,1,0
649,312608286,xuanduoc,1,0
650,312614996,yishishou,1,0
651,312699826,,1,0
653,313257015,DKashpersky,1,0
654,313341139,Seyarich,1,0
655,313406147,,1,0
658,313884767,,1,0
660,314377554,goldmanmichael,1,0
661,314569494,Fatihay66,1,0
662,314596214,,1,0
666,314840753,wowpusa,1,0
671,316069159,YuraKushlik,1,0
672,316469281,james7perrette,1,0
673,316549423,Mikhailwhite,1,0
676,317104462,,1,0
679,317511540,,1,0
681,317807576,,1,0
